winSize, paaSize, aSize, approximationDistance, minObservedCoverage, maxObservedCoverage, meanCoverage, numZeroRuns, maxZeroRunLength, grammarSize, zeroCoverageLength
100, 12, 5, 26.901903204739334, 0, 41, 24.0, 1, 32, 1646, 32
100, 13, 5, 40.48963862048855, 0, 39, 23.0, 1, 3, 1651, 3
100, 14, 5, 20.5480558455224, 0, 45, 22.0, 1, 55, 1829, 55
100, 15, 5, 43.47358142278091, 0, 33, 18.0, 1, 9, 1811, 9
100, 16, 5, 23.554411489074752, 0, 42, 19.0, 1, 20, 1920, 20
100, 17, 5, 56.642147524893566, 0, 35, 18.0, 1, 89, 1948, 89
110, 3, 5, 65.84467173209913, 5, 17, 9.0, 0, 0, 187, 0
110, 4, 5, 61.268531325360925, 4, 27, 13.0, 0, 0, 394, 0
110, 5, 5, 52.60083078833779, 8, 28, 18.0, 0, 0, 633, 0
110, 6, 5, 47.763086574871615, 3, 32, 21.0, 0, 0, 841, 0
110, 7, 5, 44.79744203249573, 0, 39, 23.0, 1, 34, 988, 34
110, 8, 5, 43.19301742868729, 3, 40, 22.0, 0, 0, 1092, 0
110, 9, 5, 35.363200007543945, 2, 43, 27.0, 0, 0, 1254, 0
110, 10, 5, 31.858253537754866, 2, 44, 25.0, 0, 0, 1360, 0
110, 11, 5, 29.074046622328783, 1, 46, 26.0, 0, 0, 1520, 0
110, 12, 5, 27.46166223197606, 0, 44, 26.0, 1, 30, 1664, 30
110, 13, 5, 34.852163943735086, 0, 50, 27.0, 1, 18, 1757, 18
110, 14, 5, 53.07889771960042, 0, 41, 20.0, 1, 6, 1726, 6
110, 15, 5, 30.33307774768586, 0, 42, 21.0, 1, 31, 1739, 31
110, 16, 5, 58.50373712334554, 0, 39, 19.0, 1, 34, 1890, 34
110, 17, 5, 40.40690533363756, 1, 33, 18.0, 0, 0, 1980, 0
120, 3, 5, 72.59969833145047, 3, 18, 9.0, 0, 0, 156, 0
120, 4, 5, 66.42900931673888, 3, 23, 12.0, 0, 0, 310, 0
120, 5, 5, 58.90840931171678, 6, 37, 21.0, 0, 0, 635, 0
120, 6, 5, 52.55437020580381, 3, 37, 24.0, 0, 0, 820, 0
120, 7, 5, 49.12387358311951, 2, 35, 23.0, 0, 0, 994, 0
120, 8, 5, 43.931428489487885, 0, 37, 23.0, 1, 1, 1091, 1
120, 9, 5, 42.10252283413473, 4, 40, 24.0, 0, 0, 1221, 0
120, 10, 5, 36.39160986225933, 2, 43, 28.0, 0, 0, 1373, 0
120, 11, 5, 51.51113438725548, 1, 41, 25.0, 0, 0, 1478, 0
120, 12, 5, 31.154418687011045, 1, 45, 26.0, 0, 0, 1593, 0
120, 13, 5, 31.21258295896875, 1, 49, 26.0, 0, 0, 1706, 0
120, 14, 5, 44.30610827625567, 0, 44, 25.0, 1, 6, 1784, 6
120, 15, 5, 24.35707990589842, 0, 44, 23.0, 1, 37, 1771, 37
120, 16, 5, 44.25795903846718, 0, 40, 19.0, 1, 2, 1798, 2
120, 17, 5, 22.29195774349796, 0, 41, 22.0, 1, 93, 1934, 93
130, 3, 5, 77.85412372931049, 5, 14, 8.0, 0, 0, 130, 0
130, 4, 5, 70.73834090699476, 3, 18, 10.0, 0, 0, 259, 0
130, 5, 5, 64.9694045963091, 5, 32, 20.0, 0, 0, 652, 0
130, 6, 5, 59.55966963380557, 5, 44, 25.0, 0, 0, 805, 0
130, 7, 5, 56.13751430577932, 2, 40, 26.0, 0, 0, 965, 0
130, 8, 5, 50.80520196731234, 1, 45, 24.0, 0, 0, 1118, 0
130, 9, 5, 48.8403497743524, 2, 38, 24.0, 0, 0, 1172, 0
130, 10, 5, 41.99462809663178, 2, 46, 28.0, 0, 0, 1351, 0
130, 11, 5, 53.151796034050776, 2, 48, 30.0, 0, 0, 1494, 0
130, 12, 5, 55.624284441172996, 0, 47, 29.0, 1, 49, 1644, 49
130, 13, 5, 33.42628951041175, 2, 47, 26.0, 0, 0, 1688, 0
130, 14, 5, 35.803347458770865, 0, 47, 26.0, 1, 45, 1780, 45
130, 15, 5, 54.81024174405487, 0, 45, 24.0, 1, 56, 1844, 56
130, 16, 5, 28.613076692977295, 0, 41, 21.0, 1, 14, 1878, 14
130, 17, 5, 59.049520143407406, 0, 33, 17.0, 1, 51, 1806, 51
140, 3, 5, 84.02340169087097, 5, 13, 8.0, 0, 0, 111, 0
140, 4, 5, 75.05354618599272, 7, 19, 11.0, 0, 0, 213, 0
140, 5, 5, 71.3218785858401, 4, 40, 22.0, 0, 0, 598, 0
140, 6, 5, 65.82573285087277, 7, 42, 27.0, 0, 0, 831, 0
140, 7, 5, 59.714468221314924, 4, 43, 27.0, 0, 0, 969, 0
140, 8, 5, 58.471144440917676, 1, 42, 25.0, 0, 0, 1109, 0
140, 9, 5, 54.991618881971185, 1, 37, 24.0, 0, 0, 1135, 0
140, 10, 5, 48.91272906764436, 2, 48, 27.0, 0, 0, 1293, 0
140, 11, 5, 55.24984061503257, 1, 50, 29.0, 0, 0, 1398, 0
140, 12, 5, 54.24835014120293, 1, 45, 28.0, 0, 0, 1556, 0
140, 13, 5, 59.7574376727449, 1, 52, 28.0, 0, 0, 1692, 0
140, 14, 5, 35.715949644394954, 0, 51, 24.0, 1, 38, 1718, 38
140, 15, 5, 41.27449929351816, 0, 49, 24.0, 1, 43, 1824, 43
140, 16, 5, 65.94613883103018, 0, 41, 24.0, 1, 37, 1910, 37
140, 17, 5, 35.875708689105856, 0, 41, 22.0, 1, 63, 1931, 63
150, 3, 5, 91.08262991074092, 3, 11, 6.0, 0, 0, 76, 0
150, 4, 5, 83.92631712772398, 7, 16, 10.0, 0, 0, 174, 0
150, 5, 5, 77.62151348770142, 5, 30, 19.0, 0, 0, 515, 0
150, 6, 5, 72.589788420925, 3, 40, 26.0, 0, 0, 835, 0
150, 7, 5, 66.69032972512227, 4, 45, 26.0, 0, 0, 930, 0
150, 8, 5, 65.46895440766443, 1, 46, 29.0, 0, 0, 1081, 0
150, 9, 5, 63.16602121133083, 0, 46, 24.0, 1, 11, 1173, 11
150, 10, 5, 54.12275649729671, 1, 42, 25.0, 0, 0, 1223, 0
150, 11, 5, 58.14142771852418, 0, 56, 28.0, 1, 26, 1444, 26
150, 12, 5, 53.17681493978353, 0, 45, 27.0, 1, 1, 1503, 1
150, 13, 5, 54.87141386680391, 1, 55, 28.0, 0, 0, 1694, 0
150, 14, 5, 63.309663390427396, 1, 57, 28.0, 0, 0, 1708, 0
150, 15, 5, 37.975944535756284, 0, 48, 24.0, 1, 12, 1740, 12
150, 16, 5, 47.49640463936822, 0, 50, 21.0, 1, 42, 1830, 42
150, 17, 5, 77.23993873034769, 0, 48, 21.0, 1, 53, 1923, 53
160, 3, 5, 97.76206724840398, 5, 16, 7.0, 0, 0, 92, 0
160, 4, 5, 91.78753048306339, 7, 17, 11.0, 0, 0, 176, 0
160, 5, 5, 85.11462057388898, 5, 29, 18.0, 0, 0, 454, 0
160, 6, 5, 80.10963227159355, 6, 39, 24.0, 0, 0, 706, 0
160, 7, 5, 75.82624133986953, 4, 43, 27.0, 0, 0, 928, 0
160, 8, 5, 68.09249641459196, 7, 47, 31.0, 0, 0, 1090, 0
160, 9, 5, 69.70513869611419, 4, 44, 26.0, 0, 0, 1163, 0
160, 10, 5, 59.77351831026747, 4, 45, 26.0, 0, 0, 1233, 0
160, 11, 5, 62.076663654380525, 0, 40, 24.0, 1, 5, 1366, 5
160, 12, 5, 55.37969463392729, 1, 51, 30.0, 0, 0, 1523, 0
160, 13, 5, 51.838725536059314, 1, 46, 26.0, 0, 0, 1620, 0
160, 14, 5, 55.28885632768683, 1, 52, 25.0, 0, 0, 1741, 0
160, 15, 5, 67.69711732508874, 1, 57, 25.0, 0, 0, 1791, 0
160, 16, 5, 40.399918749861236, 1, 53, 22.0, 0, 0, 1780, 0
160, 17, 5, 54.97121757593866, 0, 45, 21.0, 1, 1, 1884, 1
170, 3, 5, 103.59112263303676, 1, 12, 6.0, 0, 0, 70, 0
170, 4, 5, 99.49481649630944, 6, 17, 10.0, 0, 0, 203, 0
170, 5, 5, 91.33764772438141, 7, 29, 17.0, 0, 0, 426, 0
170, 6, 5, 87.17372038580667, 8, 40, 24.0, 0, 0, 617, 0
170, 7, 5, 81.92019782897826, 7, 38, 23.0, 0, 0, 859, 0
170, 8, 5, 75.28893691159206, 2, 47, 28.0, 0, 0, 1016, 0
170, 9, 5, 77.1019402138219, 2, 45, 27.0, 0, 0, 1138, 0
170, 10, 5, 65.9848798719267, 5, 44, 26.0, 0, 0, 1262, 0
170, 11, 5, 65.7844092465975, 1, 49, 28.0, 0, 0, 1371, 0
170, 12, 5, 59.69784379738087, 0, 45, 23.0, 1, 9, 1429, 9
170, 13, 5, 54.195789193037996, 1, 52, 26.0, 0, 0, 1586, 0
170, 14, 5, 51.748435980695284, 1, 52, 27.0, 0, 0, 1706, 0
170, 15, 5, 55.21686615193554, 0, 43, 23.0, 1, 25, 1792, 25
170, 16, 5, 71.7541808001313, 1, 59, 23.0, 0, 0, 1820, 0
170, 17, 5, 42.76322021865498, 0, 50, 21.0, 1, 38, 1865, 38
180, 3, 5, 109.46382514601305, 3, 16, 7.0, 0, 0, 83, 0
180, 4, 5, 106.78807951358554, 7, 16, 10.0, 0, 0, 170, 0
180, 5, 5, 97.51303989992024, 8, 27, 14.0, 0, 0, 352, 0
180, 6, 5, 94.233366428202, 6, 34, 23.0, 0, 0, 566, 0
180, 7, 5, 89.173866125861, 5, 42, 26.0, 0, 0, 838, 0
180, 8, 5, 83.33495292756288, 5, 44, 28.0, 0, 0, 1006, 0
180, 9, 5, 76.90569819929954, 4, 51, 31.0, 0, 0, 1207, 0
180, 10, 5, 73.27470305601507, 4, 50, 27.0, 0, 0, 1246, 0
180, 11, 5, 71.67967065247146, 2, 52, 27.0, 0, 0, 1310, 0
180, 12, 5, 64.15542379270576, 2, 40, 23.0, 0, 0, 1425, 0
180, 13, 5, 81.79756705763383, 0, 47, 25.0, 1, 16, 1598, 16
180, 14, 5, 84.28281337840784, 2, 55, 26.0, 0, 0, 1697, 0
180, 15, 5, 52.83431751582537, 2, 48, 25.0, 0, 0, 1796, 0
180, 16, 5, 55.317943005608356, 1, 48, 21.0, 0, 0, 1834, 0
180, 17, 5, 76.20554055194312, 1, 49, 19.0, 0, 0, 1838, 0
190, 3, 5, 115.31842888771713, 4, 16, 8.0, 0, 0, 88, 0
190, 4, 5, 114.05769008578179, 8, 17, 12.0, 0, 0, 140, 0
190, 5, 5, 105.75746438727984, 10, 23, 15.0, 0, 0, 289, 0
190, 6, 5, 101.09770575987976, 7, 37, 23.0, 0, 0, 556, 0
190, 7, 5, 95.08051373607398, 5, 47, 26.0, 0, 0, 788, 0
190, 8, 5, 91.91343161793995, 2, 45, 28.0, 0, 0, 997, 0
190, 9, 5, 83.57078272758703, 3, 51, 28.0, 0, 0, 1188, 0
190, 10, 5, 79.52842142254137, 5, 53, 29.0, 0, 0, 1267, 0
190, 11, 5, 75.80637331984053, 4, 48, 27.0, 0, 0, 1347, 0
190, 12, 5, 86.21080801565634, 4, 49, 26.0, 0, 0, 1417, 0
190, 13, 5, 78.22174784563988, 1, 45, 25.0, 0, 0, 1515, 0
190, 14, 5, 76.34592498262529, 1, 54, 23.0, 0, 0, 1645, 0
190, 15, 5, 81.68331303733643, 1, 38, 23.0, 0, 0, 1753, 0
190, 16, 5, 96.62905227513185, 0, 52, 22.0, 1, 31, 1774, 31
190, 17, 5, 55.79820577751721, 0, 51, 17.0, 1, 8, 1825, 8
200, 3, 5, 120.48589829181519, 4, 17, 10.0, 0, 0, 97, 0
200, 4, 5, 122.06449131454423, 6, 18, 10.0, 0, 0, 148, 0
200, 5, 5, 113.79729056862628, 8, 23, 14.0, 0, 0, 278, 0
200, 6, 5, 106.16928213338258, 11, 39, 22.0, 0, 0, 524, 0
200, 7, 5, 104.03853348765543, 6, 41, 26.0, 0, 0, 732, 0
200, 8, 5, 96.65140011244864, 2, 51, 28.0, 0, 0, 1026, 0
200, 9, 5, 90.59261122695082, 2, 50, 30.0, 0, 0, 1174, 0
200, 10, 5, 85.20907109278416, 1, 53, 28.0, 0, 0, 1267, 0
200, 11, 5, 82.19031179227176, 1, 47, 24.0, 0, 0, 1324, 0
200, 12, 5, 87.56356084548884, 0, 51, 25.0, 1, 8, 1416, 8
200, 13, 5, 76.5327293641057, 0, 49, 26.0, 1, 21, 1551, 21
200, 14, 5, 71.82141967324904, 0, 51, 22.0, 1, 33, 1572, 33
200, 15, 5, 70.72663242699555, 0, 42, 21.0, 1, 61, 1676, 61
200, 16, 5, 77.4057195906618, 0, 41, 20.0, 1, 9, 1793, 9
200, 17, 5, 97.85230554533881, 0, 49, 18.0, 1, 78, 1830, 78
